                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7427,                0.18946,                0.69686,                 2.4275,              0.0002322,              0.0002322,              0.0002322
                      2,                 2.2937,                 0.4658,                0.92791,                 2.2543,             0.00045158,             0.00045158,             0.00045158
                      3,                 1.8011,                0.67652,                0.99076,                 2.0366,             0.00065211,             0.00065211,             0.00065211
                      4,                 1.3679,                0.74492,                0.99908,                 1.9832,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.1377,                0.76895,                      1,                 1.9071,              0.0006009,              0.0006009,              0.0006009
                      6,                 1.0007,                0.81978,                      1,                 1.8415,             0.00057263,             0.00057263,             0.00057263
                      7,                0.90964,                0.88725,                      1,                 1.7854,             0.00054435,             0.00054435,             0.00054435
                      8,                0.84775,                0.90758,                      1,                 1.7781,             0.00051608,             0.00051608,             0.00051608
                      9,                 0.7848,                0.90203,                      1,                 1.7658,              0.0004878,              0.0004878,              0.0004878
                     10,                0.75634,                0.92976,                      1,                 1.7515,             0.00045953,             0.00045953,             0.00045953
                     11,                0.70648,                0.92976,                      1,                   1.75,             0.00043126,             0.00043126,             0.00043126
                     12,                0.66913,                0.92421,                      1,                 1.7391,             0.00040298,             0.00040298,             0.00040298
                     13,                0.63489,                0.92329,                      1,                 1.7376,             0.00037471,             0.00037471,             0.00037471
                     14,                0.62897,                0.94085,                      1,                 1.7245,             0.00034643,             0.00034643,             0.00034643
                     15,                0.60303,                0.91312,                      1,                   1.73,             0.00031816,             0.00031816,             0.00031816
                     16,                0.59953,                0.93161,                      1,                 1.7183,             0.00028988,             0.00028988,             0.00028988
                     17,                0.59136,                0.94362,                      1,                 1.7081,             0.00026161,             0.00026161,             0.00026161
                     18,                0.56858,                0.95564,                      1,                 1.7008,             0.00023334,             0.00023334,             0.00023334
                     19,                0.55012,                0.94362,                      1,                 1.7058,             0.00020506,             0.00020506,             0.00020506
                     20,                0.52844,                0.94917,                      1,                 1.7095,             0.00017679,             0.00017679,             0.00017679
                     21,                0.53183,                0.96026,                      1,                 1.6919,             0.00014851,             0.00014851,             0.00014851
                     22,                0.52905,                0.94917,                      1,                 1.6973,             0.00012024,             0.00012024,             0.00012024
                     23,                0.50276,                0.95933,                      1,                 1.6937,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.51954,                0.95933,                      1,                 1.6899,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.51992,                 0.9658,                      1,                 1.6873,             3.5414e-05,             3.5414e-05,             3.5414e-05
